 Year ; Month ; Day ; FECHA completa ;Valor Neto; Margen ; Mar% ; Cantidad ; Costo Promedio ; Fecha con dia semana ; Semana del año ; DIA de la semana ; index 
2018;Junio;15;15/Junio/2018;23351863.60;$ 10,003,746.96;42.84%;15,649.00;$ 13,348,116.64;viernes, 15 de junio de 2018;24;viernes;1039
2018;Junio;16;16/Junio/2018;2878295.00;$ 1,070,737.99;37.20%;2,045.00;$ 1,807,557.01;sábado, 16 de junio de 2018;24;sábado;1040
2018;Junio;18;18/Junio/2018;35659774.00;$ 15,794,687.40;44.29%;35,834.00;$ 19,865,086.60;lunes, 18 de junio de 2018;25;lunes;1041
2018;Junio;19;19/Junio/2018;35146131.00;$ 14,326,814.40;40.76%;20,270.63;$ 20,819,316.60;martes, 19 de junio de 2018;25;martes;1042
2018;Junio;20;20/Junio/2018;32222285.00;$ 11,823,587.77;36.69%;19,105.00;$ 20,398,697.23;miércoles, 20 de junio de 2018;25;miércoles;1043
2018;Junio;21;21/Junio/2018;42571347.00;$ 15,858,527.38;37.25%;22,490.00;$ 26,712,819.62;jueves, 21 de junio de 2018;25;jueves;1044
2018;Junio;22;22/Junio/2018;30284368.26;$ 11,648,079.76;38.46%;20,812.00;$ 18,636,288.50;viernes, 22 de junio de 2018;25;viernes;1045
2018;Junio;23;23/Junio/2018;1953072.00;$ 684,818.09;35.06%;2,422.00;$ 1,268,253.91;sábado, 23 de junio de 2018;25;sábado;1046
2018;Junio;25;25/Junio/2018;29909095.00;$ 11,656,207.48;38.97%;19,976.00;$ 18,252,887.52;lunes, 25 de junio de 2018;26;lunes;1047
2018;Junio;26;26/Junio/2018;28757095.00;$ 11,193,556.21;38.92%;39,120.00;$ 17,563,538.79;martes, 26 de junio de 2018;26;martes;1048
2018;Junio;27;27/Junio/2018;65874136.00;$ 18,479,828.36;28.05%;24,656.00;$ 47,394,307.64;miércoles, 27 de junio de 2018;26;miércoles;1049
2018;Junio;28;28/Junio/2018;36645367.00;$ 15,529,916.32;42.38%;36,321.00;$ 21,115,450.68;jueves, 28 de junio de 2018;26;jueves;1050
2018;Junio;29;29/Junio/2018;40696877.00;$ 15,832,447.94;38.90%;35,915.00;$ 24,864,429.06;viernes, 29 de junio de 2018;26;viernes;1051
2018;Junio;30;30/Junio/2018;456759.00;$ 212,204.26;46.46%;575.00;$ 244,554.74;sábado, 30 de junio de 2018;26;sábado;1052
